college,kmedian,parmedian,public,private,ivyplus,otherelite,hselective,selective,northeast,midwest,west,pctfemale,pctmarried
Clarkson University,73300,94600,0,1,0,0,0,1,1,0,0,26.59511,67.122161
Clayton State University,35000,77600,1,0,0,0,0,1,0,0,0,60.470456,50.633097
Clearwater Christian College,41500,64300,0,1,0,0,0,1,0,0,0,53.024912,76.28969
Clemson University,52300,120200,1,0,0,0,1,0,0,0,0,47.578016,68.194026
Cleveland State University,37000,72700,1,0,0,0,0,1,0,1,0,52.163607,48.733816
Coastal Carolina University,37800,91500,1,0,0,0,0,1,0,0,0,55.079985,54.325742
Coe College,48500,90600,0,1,0,0,0,1,0,1,0,57.014155,66.688877
Coker College,34600,59000,0,1,0,0,0,1,0,0,0,59.203982,54.939586
Colby College,59200,208700,0,1,0,1,0,0,1,0,0,54.915255,61.660719
Colby-Sawyer College,41900,99400,0,1,0,0,0,1,1,0,0,64.620358,59.457123
Colgate University,71500,208900,0,1,0,1,0,0,1,0,0,51.829267,61.718601
College For Creative Studies,43600,98300,0,1,0,0,0,0,0,1,0,40.899795,45.507818
College Of Central Florida,27100,54100,1,0,0,0,0,1,0,0,0,57.021677,46.871647
College Of Charleston,39900,119500,1,0,0,0,0,1,0,0,0,64.691269,56.692559
College Of Coastal Georgia,27200,64400,1,0,0,0,0,1,0,0,0,61.513424,48.560932
College Of Idaho ,45700,92200,0,1,0,0,0,1,0,0,1,55.084747,61.751211
College Of Mount Saint Joseph,41700,88500,0,1,0,0,0,1,0,1,0,65.529013,67.195117
College Of Mount Saint Vincent And Manhattan College,67900,94800,0,1,0,0,0,1,1,0,0,55.054152,49.549633
College Of New Jersey ,60100,122300,1,0,0,1,0,0,1,0,0,59.034556,63.029325
College Of New Rochelle ,30800,40400,0,1,0,0,0,1,1,0,0,90.09009,23.871805
College Of Our Lady Of The Elms,45400,87500,0,1,0,0,0,1,1,0,0,72.125435,65.567285
College Of Saint Benedict,47300,106800,0,1,0,0,0,1,0,1,0,99.776119,73.596156
College Of Saint Elizabeth,44700,75200,0,1,0,0,0,1,1,0,0,99.157304,50.174236
College Of Saint Rose,46200,91000,0,1,0,0,0,1,1,0,0,74.279213,65.088898
College Of Saint Scholastica,54800,87700,0,1,0,0,0,1,0,1,0,73.363096,70.403069
College Of Southern Nevada,28900,66800,1,0,0,0,0,1,0,0,1,52.703053,41.334799
College Of Staten Island/CUNY,41200,73500,1,0,0,0,0,1,1,0,0,51.493633,44.264865
College Of The Holy Cross,71900,157000,0,1,0,1,0,0,1,0,0,51.899999,64.85858
College Of The Ozarks,32000,49200,0,1,0,0,0,1,0,1,0,54.233408,68.581057
College Of Westchester ,34900,55800,0,0,0,0,0,0,1,0,0,46.590909,33.266377
College Of William & Mary,59800,147100,1,0,0,1,0,0,0,0,0,57.40416,61.055648
College Of Wooster ,47200,108100,0,1,0,0,0,1,0,1,0,52.025419,59.345227
CollegeAmerica Denver,20100,43500,0,1,0,0,0,0,0,0,1,65.863454,34.217453
Colorado Christian University,30700,98600,0,1,0,0,0,1,0,0,1,60.382515,79.574049
Colorado College,43600,154600,0,1,0,0,1,0,0,0,1,55.709571,55.171168
Colorado Mesa University,35000,75800,1,0,0,0,0,1,0,0,1,52.169424,60.787284
Colorado Mountain College,24500,79400,1,0,0,0,0,1,0,0,1,45.199817,43.789586
Colorado School Of Mines,81500,111500,1,0,0,0,1,0,0,0,1,25.325522,69.109714
Colorado State University,45800,115400,1,0,0,0,0,1,0,0,1,52.779895,62.975681
Colorado State University-Pueblo,38100,72300,1,0,0,0,0,1,0,0,1,54.809618,56.463993
Colorado Technical University,26100,52300,0,0,0,0,0,0,0,0,1,57.797581,49.450436
Columbia Basin College,32000,77500,1,0,0,0,0,1,0,0,1,49.836707,58.218116
"Columbia College of Chicago, IL",28500,85100,0,1,0,0,0,1,0,1,0,48.874396,34.840989
"Columbia College of Columbia, MO",31100,61700,0,1,0,0,0,1,0,1,0,60.445434,53.231281
"Columbia College of Columbia, SC",33800,62600,0,1,0,0,0,1,0,0,0,99.276859,51.905644
Columbia International University,18500,71700,0,1,0,0,0,0,0,0,0,68.398267,79.25958
Columbia University In The City Of New York,75300,169600,0,1,1,0,0,0,1,0,0,45.593357,52.451259
Columbus College Of Art & Design,32500,81800,0,1,0,0,0,0,0,1,0,48.26884,46.86285
Columbus State University,35400,72600,1,0,0,0,0,1,0,0,0,60.912865,51.240695
Concord University,31800,66800,1,0,0,0,0,1,0,0,0,56.819695,60.822612
Concordia College - Moorhead,45600,86400,0,1,0,0,0,1,0,1,0,61.357564,72.11116
Concordia University - Saint Paul,39900,77900,0,1,0,0,0,1,0,1,0,54.382825,65.818667
Concordia University - Wisconsin,38600,79300,0,1,0,0,0,1,0,1,0,57.678783,70.293367
"Concordia University of Irvine, CA",39600,94000,0,1,0,0,0,1,0,0,1,66.500831,64.912969
"Concordia University of Portland, OR",41700,88400,0,1,0,0,0,1,0,0,1,66.467065,68.295842
"Concordia University of River Forest, IL",35100,86300,0,1,0,0,0,1,0,1,0,64.006257,69.645548
"Concordia University of Seward, NE",36500,75500,0,1,0,0,0,1,0,1,0,55.400252,78.544164
Concordia University Texas,40400,91300,0,1,0,0,0,1,0,0,0,49.756098,69.025499
Connecticut College,55500,170500,0,1,0,1,0,0,1,0,0,59.548753,57.68404
Converse College,32700,93000,0,1,0,0,0,1,0,0,0,99.310344,64.285815
Cooper Union For The Advancement Of Science & Art ,64300,110100,0,1,0,1,0,0,1,0,0,35.946462,46.624222
Corban University,32200,79000,0,1,0,0,0,1,0,0,1,60.243905,77.762383
Cornell College,45500,91800,0,1,0,0,0,1,0,1,0,61.764705,62.191403
Cornell University,79800,143300,0,1,1,0,0,0,1,0,0,48.373455,58.26292
Cornerstone University,29400,84200,0,1,0,0,0,1,0,1,0,61.69045,77.100056
Cornish College Of The Arts,25000,89700,0,1,0,0,0,0,0,0,1,60.765553,35.447565
Covenant College,32300,86400,0,1,0,0,0,1,0,0,0,60.194176,73.39108
Creighton University,57200,119200,0,1,0,0,0,1,0,1,0,60.164833,67.006105
Crown College,30000,73500,0,1,0,0,0,0,0,1,0,57.710278,73.663735
Culinary Institute Of America,41800,102800,0,1,0,0,0,0,1,0,0,30.759573,49.287385
Culver-Stockton College,38900,78600,0,1,0,0,0,1,0,1,0,54.720616,65.980899
Cumberland University,37500,68800,0,1,0,0,0,1,0,0,0,45.37445,62.066227
CUNY Bernard M. Baruch College,57600,42800,1,0,0,0,0,1,1,0,0,55.186212,46.454075
CUNY Brooklyn College,44300,52200,1,0,0,0,0,1,1,0,0,59.425551,49.788338
CUNY Hunter College,44400,49800,1,0,0,0,0,1,1,0,0,69.18084,38.337278
CUNY John Jay College Of Criminal Justice,45200,41800,1,0,0,0,0,1,1,0,0,59.527689,32.534915
CUNY Lehman College,40700,32500,1,0,0,0,0,1,1,0,0,67.544484,30.575472
CUNY Medgar Evers College,30900,35100,1,0,0,0,0,1,1,0,0,69.483566,15.341583
CUNY Queens College,48200,63300,1,0,0,0,0,1,1,0,0,61.209625,53.708667
CUNY York College,36400,36500,1,0,0,0,0,1,1,0,0,68.115944,27.062157
Curry College,38800,101600,0,1,0,0,0,1,1,0,0,47.758284,47.148463
Daemen College,41900,77600,0,1,0,0,0,1,1,0,0,76.196808,55.639189
Dallas Baptist University,39500,87000,0,1,0,0,0,1,0,0,0,56.616801,73.855031
Dalton State College,29700,63500,1,0,0,0,0,1,0,0,0,57.017136,58.23521
Daniel Webster College,50300,93800,0,0,0,0,0,0,1,0,0,18.809524,56.111228
Dartmouth College,76600,185500,0,1,1,0,0,0,1,0,0,48.192772,56.92296
Davenport University,23400,55800,0,1,0,0,0,1,0,1,0,67.474532,44.057539
Davidson College,60300,208500,0,1,0,1,0,0,0,0,0,51.710099,64.97786
Davis & Elkins College,32700,68000,0,1,0,0,0,1,0,0,0,62.116992,55.900997
Daytona State College,24400,52400,1,0,0,0,0,1,0,0,0,56.86838,42.483357
Dean College,29800,91400,0,1,0,0,0,0,1,0,0,45.016077,37.91995
Defiance College,39900,77900,0,1,0,0,0,1,0,1,0,49.508196,75.439018
Delaware Valley College Of Science & Agriculture,45100,90700,0,1,0,0,0,1,1,0,0,50.527424,60.700297
Delta State University,37600,71000,1,0,0,0,0,1,0,0,0,59.824783,58.209383
Denison University,53700,149300,0,1,0,0,1,0,0,1,0,56.379426,59.033829
